ProcedureName,CaseType,NumberOfCases
3 Snip Operation of Punctum,Elective,1
Abdominoperineal Excision of Rectum and Colostomy,Elective,5
Abdominoperineal Excision of Rectum and Colostomy With Vram Flap,Elective,1
Abdominoplasty,Elective,1
Above Knee Amputation,Elective,2
Above Knee Amputation,Emergency,33
Accolade Trident Total Hip Replacement,Elective,1
Adenoidectomy,Elective,7
Adenoidectomy and Grommets,Elective,4
Adeno-Tonsillectomy,Elective,103
Adeno-Tonsillectomy,Emergency,1
Adeno-Tonsillectomy and Grommets,Elective,11
Adjustment External Fixator,Elective,3
Adjustment External Fixator,Emergency,2
Aequalis Hemi Arthroplasty Shoulder,Elective,1
Akin Osteotomy - Proximal Phalanx (Orif),Elective,5
Alcohol Delamination of Cornea,Elective,16
Amniotic Graft to Conjunctiva,Elective,1
Amniotic Membrane Graft - Allograft - Head / Neck,Elective,1
Amniotic Membrane Graft to Cornea,Elective,1
Amputation Accessory Toe Simple,Elective,1
Amputation and Reconstruction Accessory Toe,Elective,1
Amputation Duplicated Thumb,Elective,4
Amputation Foot,Elective,1
Amputation Foot,Emergency,1
Amputation Forefoot,Emergency,3
Amputation Hallux,Elective,6
Amputation Hallux,Emergency,32
Amputation of Finger,Elective,20
Amputation of Finger,Emergency,2
Amputation Penis Partial,Elective,6
Amputation Penis Total,Elective,11
Amputation Phalanx of Finger,Elective,1
Amputation Thumb,Elective,1
Amputation Toe,Elective,13
Amputation Toe,Emergency,68
Amputation Toe - Through M.T.P. Joint,Elective,1
Amputation Toe - Through M.T.P. Joint,Emergency,1
Amputation Upper Arm (Above Elbow),Elective,1
Anal Sphincterotomy Lateral,Elective,1
Anastomosis of Ileum to Rectum,Elective,1
Angiography - Nec,Elective,16
Angioplasty - Artery,Elective,3
Ankle Replacement,Elective,4
Anorectoplasty,Elective,3
Anterior Chamber Washout,Elective,8
Anterior Chamber Washout,Emergency,1
Anterior Chamber Washout,Unknown,1
Anterior Decompression of Cervical Spinal Cord,Elective,2
Anterior Discectomy and Fusion - Cervical (Acdf),Elective,54
Anterior Discectomy and Fusion - Cervical (Acdf),Emergency,9
Anterior Resection and (Tme),Elective,1
Anterior Resection and (Tme) and Staple Anastomosis (Laparoscopic),Elective,1
Anterior Resection and (Tme)And Staple Anastomosis,Elective,1
Anterior Resection and Staple Anastomosis,Elective,2
Anterior Resection and Staple Anastomosis,Emergency,2
Anterior Resection and Staple Anastomosis Laparoscopic,Elective,1
Anterior Resection of Rectum & Ostomy Laparoscopic,Elective,4
Anterior Resection of Rectum & Ostomy Laparoscopic,Emergency,1
Anterior Resection of Rectum and Ostomy,Elective,2
Anterior Vitrectomy,Elective,1
Aorto BI Femoral Bypass Graft (Routine),Elective,3
Aorto BI Femoral Bypass Graft (Routine),Emergency,2
Aorto-Femoral Bypass Using Graft,Elective,3
Apicectomy,Elective,1
Aponeurectomy Hand,Elective,2
Appendicectomy Emergency Laparoscopic,Elective,6
Appendicectomy Emergency Laparoscopic,Emergency,377
Appendicectomy Emergency Open,Emergency,8
Appendicectomy Interval,Elective,2
Appendicectomy Routine Laparoscopic,Elective,27
Appendicectomy Routine Laparoscopic,Emergency,1
Application External Fixation,Elective,11
Application External Fixation,Emergency,27
Application External Fixation,Unknown,1
Application External Fixation Circular,Elective,8
Application External Fixation Circular,Emergency,5
Application of Archbars,Emergency,1
Application Plaster Cast,Emergency,2
Application Skeletal Traction,Elective,1
Application Skeletal Traction,Emergency,1
Application Taylor Spacial Frame,Elective,3
Application Taylor Spacial Frame,Emergency,7
Arthrocentisis Tmj,Elective,27
Arthrodesis,Elective,7
Arthrodesis Plus Bone Graft,Elective,1
Arthrogram,Elective,12
Arthrolysis - Open,Elective,1
Arthroscopic Reconstruction (Acl),Elective,5
Arthroscopic Repair of Ligament Knee,Elective,1
Arthroscopic Repair of Ligament Knee,Emergency,1
Arthroscopic Repair of McL (Medial Collateral Ligament),Elective,2
Arthroscopic Suturing Meniscus,Elective,1
Arthroscopic Suturing Meniscus,Emergency,1
Arthroscopy - Ankle,Elective,10
Arthroscopy - Elbow,Elective,2
Arthroscopy - Knee,Elective,159
Arthroscopy - Knee,Emergency,1
Arthroscopy - Shoulder,Elective,12
Arthroscopy - Shoulder,Emergency,2
Arthroscopy and Biopsy Lesion Knee Joint,Elective,2
Arthroscopy and Washout of Knee,Elective,4
Arthroscopy and Washout of Knee,Emergency,16
Aspiration Joint,Elective,4
Aspiration Joint,Emergency,8
Aspiration of Joint,Elective,3
Aspiration of Joint,Emergency,6
Aspiration of Lens,Elective,2
Attention to Central Venous Catheter,Elective,1
Attention to Colostomy,Elective,1
Attention to Dorsal Column Stimulator,Elective,5
Attention to Fixtures for Bone Anchored Hearing Prosthesis,Elective,2
Attention to Flap of Skin,Elective,1
Attention to Flap of Skin,Emergency,2
Attention to Gastrostomy Tube ( Change),Elective,7
Attention to Neurostimulator - Spinal,Elective,9
Attention to Orthodontic Appliance,Elective,1
Attention to Penile Prosthesis,Elective,2
Attention to Penile Prosthesis,Emergency,1
Attention to Replacement Lens,Elective,1
Attention to Replacement Lens,Emergency,1
Attention to Total Prosthetic Replacement of Knee Joint Nec,Elective,1
Attention to Total Prosthetic Replacement of Knee Joint Nec,Emergency,1
Attention to Tracheal Stoma (Stomaplasty),Elective,2
Atticotomy,Elective,9
Autologous Blood Salvage (Cell Saver Set Up),Elective,1
Autologous Rectus Fascial Sling,Elective,4
A-V Fistula Formation,Elective,3
Avulsion Varicose Veins of Leg,Elective,7
Axillary Clearance - Block Dissection Axillary Lymph Nodes,Elective,40
Axillo-Bi-Femoral Graft,Elective,3
Axillo-Bi-Femoral Graft,Emergency,1
Axillo-Femoral Graft,Elective,1
Axillo-Femoral Graft,Emergency,3
Banding of Haemorrhoids,Elective,2
Below Knee Amputation,Elective,7
Below Knee Amputation,Emergency,70
Below Knee Amputation,Unknown,1
Bilateral Oophorectomy,Elective,2
Bilateral Oophorectomy Laparoscopic,Elective,2
Bilateral Salpingectomy Laparoscopic,Elective,8
Bilateral Salpingo-Oophorectomy,Elective,5
Bilateral Salpingo-Oophorectomy,Emergency,2
Bilateral Salpingo-Oophorectomy Laparoscopic,Elective,63
Bilateral Salpingo-Oophorectomy Laparoscopic,Emergency,2
Bilobectomy of Lung,Elective,5
Bi-Maxillary Osteotomy,Elective,33
Biopsy Anus,Elective,2
Biopsy Artery,Elective,4
Biopsy Axillary Lymph Node,Elective,1
Biopsy Bone - Open,Elective,2
Biopsy Bone (Inc Needle Biopsy),Elective,5
Biopsy Breast Lump,Elective,5
Biopsy Cervix,Elective,2
Biopsy Chest Wall,Elective,2
Biopsy Conjunctiva,Elective,13
Biopsy Ear External,Elective,3
Biopsy Endometrium,Elective,2
Biopsy Endometrium,Unknown,4
Biopsy Eyelid,Elective,32
Biopsy Joint,Elective,1
Biopsy Lacrymal Gland,Elective,2
Biopsy Lesion Mandible,Elective,2
Biopsy Lesion Nose External,Elective,3
Biopsy Lesion of Breast,Elective,14
Biopsy Lesion of Muscle,Emergency,1
Biopsy Lesion of Skin,Elective,62
Biopsy Lesion Skin of Head or Neck,Elective,17
Biopsy Lesion Skin of Head or Neck,Emergency,1
Biopsy Lesion Soft Tissue,Elective,8
Biopsy Lip,Elective,1
Biopsy Lymph Node - Sentinel,Elective,68
Biopsy Lymph Node (Nec),Elective,2
Biopsy Mediastinal Lymph Node,Elective,1
Biopsy Mediastinal Tumor/Mass,Elective,1
Biopsy Mouth,Elective,2
Biopsy Muscle,Elective,18
Biopsy Muscle,Emergency,2
Biopsy Nail Bed,Elective,3
Biopsy Nasal Septum,Elective,2
Biopsy Nerve Peripheral,Elective,4
Biopsy Nerve Peripheral,Emergency,1
Biopsy Nipple,Elective,3
Biopsy Nose,Elective,10
Biopsy of Sentinel Lymph Node,Elective,30
Biopsy Orbit,Elective,3
Biopsy Penis,Elective,18
Biopsy Penis,Emergency,1
Biopsy Peritoneum Laparoscopic,Elective,1
Biopsy Pleura Endoscopic,Elective,1
Biopsy Prostate - Trus,Elective,2
Biopsy Prostate (Endoscopic),Elective,3
Biopsy Prostate Transperineal Needle,Elective,20
Biopsy Rectum,Elective,3
Biopsy Salivary Gland,Elective,1
Biopsy Synovial Menbrane of Joint Open,Elective,1
Biopsy Temporal Artery,Elective,42
Biopsy Thoracic Vertebra,Elective,3
Biopsy Thoracic Vertebra,Emergency,1
Biopsy Tongue,Elective,2
Biopsy Tonsil,Elective,2
Biopsy Vagina,Elective,4
Biopsy Vagina,Unknown,1
Biopsy Vulva,Elective,1
Bladder Operations Other Specified,Emergency,1
Blepharoplasty,Elective,14
Block Dissection Glands Groin,Elective,1
Block Dissection Glands Groin Endoscopic,Elective,4
Block Dissection Lymph Node (D2),Elective,1
Block Dissection of Inguinal Lymph Nodes,Elective,3
Block Dissection of Neck,Elective,51
Block Dissection of Neck - Bilateral,Elective,2
Blood Collection Under Anaesthetic,Elective,1
Blood Patch Epidural Lumbar,Emergency,4
Blood Patch Epidural Lumbar,Unknown,1
Bonding of Tooth,Elective,4
Bone Graft to Scaphoid,Elective,5
Botox - Bladder,Elective,4
Botox - Bladder,Unknown,1
Botox Injection to Anal Canal,Elective,7
Bouginage of Urethra (Soft Bougies),Elective,2
Brachial Embolectomy - Open,Emergency,5
Brachio-Basilic Transposition Av Fistula,Elective,15
Brachio-Basilic Transposition Av Fistula,Emergency,1
Brachio-Cephalic Av Fistula,Elective,45
Brachio-Cephalic Av Fistula,Emergency,1
Brain Stem Evoked Response,Elective,1
Branched Endovascular Aneurysm (Bevar),Elective,2
Branemark Bone Anchored Hearing Aid (Baha),Elective,21
Branemark Implants to Jaw Stage 2,Elective,2
Breast Reconstruction - Using Pap Flap,Emergency,1
Breast Reduction,Elective,14
Bronchoscopy and Ins Bronchial Tracheal Stent,Emergency,2
Bronchoscopy Biopsy/Brushings Fibreoptic,Elective,5
Bronchoscopy Biopsy/Brushings Rigid,Elective,2
Bronchoscopy Fibreoptic,Elective,13
Bronchoscopy Fibreoptic,Emergency,10
Bronchoscopy Rem F/B Rigid,Emergency,1
Bronchoscopy Rigid,Elective,5
Bronchoscopy Rigid,Emergency,13
Brow Lift,Elective,6
Bulkamid Injection (Female),Elective,21
Bullectomy of Lung,Emergency,3
Bullectomy of Lung - Thoracoscopic,Elective,10
Bullectomy of Lung - Thoracoscopic,Emergency,15
Burch Colposuspension,Elective,15
Burch Colposuspension,Emergency,1
Caesarean Section Classical,Elective,1
Caesarean Section Classical,Emergency,1
Caesarean Section Lower Segment,Elective,767
Caesarean Section Lower Segment,Emergency,3
Caesarean Section Lower Segment - Cat 1,Elective,2
Caesarean Section Lower Segment - Cat 2,Elective,4
Caesarean Section Lower Segment - Cat 2,Emergency,8
Caesarean Section Lower Segment - Cat 3,Elective,12
Caesarean Section Lower Segment - Cat 3,Emergency,5
Caesarean Section Lower Segment - Cat 4,Elective,34
Caldwell Luc,Elective,1
Canaliculodacryocystorhinostomy,Elective,1
Capsulectomy Breast,Elective,2
Cardioversion,Elective,2
Cardioversion,Emergency,39
Carotid-Subclavian Bypass Plus Graft,Emergency,1
Carpal Tunnel Decompression,Elective,135
Carpal Tunnel Decompression,Emergency,4
Carpal Tunnel Decompression Endoscopic,Emergency,1
Carpometacarpal Joint Fusion,Elective,12
Caudal,Elective,4
Cauterisation Nose Internal,Elective,1
Cautery to Lesion Skin,Emergency,1
Cautery to Lesion Skin Head or Neck,Elective,1
Centrax Hemiarthroplasty,Elective,1
Centrax Hemiarthroplasty,Emergency,1
Cerclage of Cervix of Gravid Uterus,Emergency,1
Cervical Polypectomy,Elective,1
Cervical Smear,Elective,4
Cervical Sympathectomy Thoracoscopic,Elective,1
Change Catheter Suprapubic,Elective,10
Change Catheter Suprapubic,Emergency,3
Change of Freka Feeding Tube,Elective,3
Change of Jj Stent,Elective,16
Change of Jj Stent,Emergency,1
Change of Plaster Cast,Elective,1
Change of Tracheostomy Tube,Emergency,2
Change of Urethral Catheter,Elective,4
Change of Urethral Catheter,Emergency,1
Change of Vagal Nerve Stimulator,Elective,5
Change/Maintenance of Nephrostomy Tube,Elective,1
Check Cystoscopy (Flexible ),Elective,78
Check Cystoscopy (Flexible ),Emergency,5
Check Cystoscopy (Rigid),Elective,75
Check Cystoscopy (Rigid),Emergency,16
Chelation of Cornea,Elective,5
Chest Drainage Underwater Seal,Elective,1
Chest Drainage Underwater Seal,Emergency,6
Cholecystectomy - Partial,Elective,1
Cholecystectomy - Partial,Emergency,1
Cholecystectomy and Expl C.B.D. Laparoscopic Inc Poc,Elective,10
Cholecystectomy and Expl C.B.D. Laparoscopic Inc Poc,Emergency,5
Cholecystectomy Laparoscopic,Elective,95
Cholecystectomy Laparoscopic,Emergency,38
Cholecystectomy Laparoscopic + Poc,Elective,437
Cholecystectomy Laparoscopic + Poc,Emergency,126
Cholecystostomy,Emergency,2
Circumcision Standard,Elective,152
Circumcision Standard,Emergency,6
Closed Reduction Plus Percutaneous Screw,Emergency,1
Closure A-V Fistula,Elective,1
Closure Fasciotomy,Emergency,2
Closure Ileostomy,Elective,22
Closure of Abdomen,Emergency,2
Closure of Urethral Fistula,Elective,3
Closure Oral Fistula,Elective,2
Closure Oro-Antral Fistula,Elective,1
Closure Tracheo Oesophageal Fistula (Tof),Elective,1
Closure Tracheostomy,Elective,1
Colonoscopy,Elective,8
Colonoscopy,Emergency,2
Colonoscopy and Biopsy,Elective,38
Colonoscopy and Snare Polyp,Elective,1
Colotomy,Elective,1
Colpocleisis Complete,Elective,2
Colposcopy of Vagina,Elective,2
Colposuspension of Bladder Neck,Elective,1
Columelloplasty,Elective,1
Compartmental Pressure Monitoring,Elective,1
Composite Graft of Skin,Emergency,3
Composite Graft of Skin Head or Neck,Elective,1
Conjunctival Auto Graft,Elective,3
Continuous Intravenous Infusion of Therapeutic Substance - Nec,Elective,2
Corneal Graft,Elective,1
Coronectomy,Elective,10
Correction Deformity - Toe,Elective,3
Correction Deformity Foot - Congenital (Other Specified),Elective,3
Correction Deformity Hand - Congenital (Other Specified),Elective,2
Correction Deformity of Spine - Other Specified,Elective,39
Correction Deformity of Spine-Posterior Instrumentation,Elective,2
Correction Ectropian,Elective,31
Correction Entropian,Elective,62
Correction Eyelid Deformity - Other Specified,Elective,2
Correction Hallux Valgas (Soft Tissue and Bunion),Elective,1
Correction of Ptosis of Eyelid Using Aponeurosis Technique,Elective,2
Correction of Ptosis of Eyelid Using Frontalis Muscle Technique,Elective,2
Correction of Ptosis of Eyelid Using Levator Muscle Technique,Elective,7
Correction Prominent Ear,Elective,2
Correction Prominent Ears Bilateral,Elective,4
Correction Ptosis,Elective,9
