Procedure Name,Income
3 Snip Operation of Punctum, £271.00 
Alcohol Delamination of Cornea, £517.00 
Amniotic Graft to Conjunctiva, £842.00 
Amniotic Membrane Graft - Allograft - Head / Neck, £510.00 
Amniotic Membrane Graft to Cornea, £151.00 
Anterior Chamber Washout, £197.00 
Anterior Vitrectomy, £199.00 
Aspiration of Lens, £837.00 
Attention to Replacement Lens, £139.00 
Autologous Blood Salvage (Cell Saver Set Up), £62.00 
Biopsy Artery, £245.00 
Biopsy Conjunctiva, £315.00 
Biopsy Ear External, £706.00 
Biopsy Eyelid, £248.00 
Biopsy Lacrymal Gland, £199.00 
Biopsy Orbit, £708.00 
Biopsy Temporal Artery, £472.00 
Blepharoplasty, £113.00 
Canaliculodacryocystorhinostomy, £689.00 
Chelation of Cornea, £860.00 
Conjunctival Auto Graft, £238.00 
Corneal Graft, £601.00 
Correction Ectropian, £375.00 
Correction Entropian, £635.00 
Correction Eyelid Deformity - Other Specified, £106.00 
Correction of Ptosis of Eyelid Using Aponeurosis Technique, £144.00 
Correction of Ptosis of Eyelid Using Frontalis Muscle Technique, £796.00 
Correction of Ptosis of Eyelid Using Levator Muscle Technique, £151.00 
Correction Ptosis, £633.00 
Correction Squint, £862.00 
Correction Squint - Bil Medial Rectus Recession, £638.00 
Correction Squint - Divergent, £41.00 
Correction Squint - Inferior Oblique Recession, £663.00 
Correction Squint - Inferior Rectus Recession, £260.00 
Correction Squint - Lateral Rectus Recession, £386.00 
Correction Squint - Medial Rectus Recession, £433.00 
Cryo - Plomb and Drainage - for Retinal Detachment, £495.00 
Cryotherapy Lesion Retina, £583.00 
Cryotherapy to Lesion of Conjunctiva, £319.00 
Cyclodiode Laser to Ciliary Body, £697.00 
Dacryocystocanaliculoplasty, £333.00 
Dacryocystorhinostomy, £248.00 
Dacryocystorhinostomy Plus Ins of Tube, £697.00 
Delamination of Membranes - Retinal, £432.00 
Drainage Lesion Eyelid, £96.00 
Dropped Nucleus for Vitrectomy, £593.00 
E.D.T.A. Treatment to Cornea, £675.00 
Endothelial Keratoplasty (Dsaek) With Phaco, £650.00 
Endothelial Keratoplasty (Dsaek) Without Phaco, £366.00 
Enlargement of Lacrimal Punctum, £509.00 
Enucleation of Eyeball, £71.00 
Epi Retinal Membrane Peel, £140.00 
Epilation Eyelash, £429.00 
Evisceration of Eyeball, £331.00 
Examination Under Anaesthetic - Eye, £489.00 
Excision B.C.C. Eyelid Plus Full Thickness Graft, £537.00 
Excision Benign Lesion Eyebrow Plus Direct Closure, £705.00 
Excision Chalazian, £721.00 
Excision Conjunctival Lesion, £375.00 
Excision Lacrimal Gland, £244.00 
Excision Lesion Cornea, £742.00 
